GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Drivers demand engine % torque(%),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel pressure(psi),Fuel Rate (direct from ECU)(L/m),Fuel trim bank 1 sensor 1(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Latitude(°),GPS Longitude(°),GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Volumetric Efficiency (Calculated)(%)
Fri Feb 09 15:30:59 EST 2018,09-Feb-2018 15:30:59.281,-80.53683024,43.47217743,0.0,3.216,312.6048583984375,0.0,0.1829834,9.38273621,2.37928772,0.01278562,21.96078491,-0.0161486,19.6078434,9.8039217,-,9,-,-,-,-,-,784.25,-153.25,0.23715341,0.00395256,43.51132202,-,3.125,-3.125,3.21600008,43.4721756,-80.53682709,0,-,6.52669811,0,∞,2.92000008,0,0,21.56862831,3.5,-,0,0,-7.54196262,42
Fri Feb 09 15:31:00 EST 2018,09-Feb-2018 15:31:00.278,-80.53683027,43.47217744,0.0,3.216,312.603515625,0.0,0.80726624,9.21035767,2.80305481,0.01026179,21.96078491,-0.0045266,19.6078434,9.8039217,-,9,-,-,-,23.13725471,-,779.75,-153.25,0.23715341,0.00395256,43.51132202,-,3.125,2.34375,3.21600008,43.4721756,-80.53682709,0,-,6.67173576,0,∞,2.6400001,0,0,21.56862831,6.5,-,0,0,-7.39692497,41
Fri Feb 09 15:31:01 EST 2018,09-Feb-2018 15:31:01.278,-80.53683028,43.47217744,0.0,3.216,312.60540771484375,0.0,-0.2000885,9.81190491,1.78552246,0.01338492,27.45098114,-0.07788402,19.6078434,9.8039217,-,9,-,-,-,38.03921509,31.76470566,765,-114.75,0.04164418,0.00069407,43.07621002,-,2.34375,2.34375,3.21600008,43.4721756,-80.53682709,0,-,8.26715088,0,∞,4.30999994,0,0,27.05882454,-5.5,-,0,0,-5.80150986,45
Fri Feb 09 15:31:02 EST 2018,09-Feb-2018 15:31:02.278,-80.53683031,43.47217743,0.0,4.288,312.6053466796875,0.0,0.1937561,8.80754089,3.06402588,0.01048258,27.45098114,0.01461232,19.6078434,9.8039217,-,9,-,-,-,36.07843018,40,782.25,-158.75,0.34166169,0.00569436,43.07621002,-,3.125,3.125,4.28800011,43.4721756,-80.53682709,0,-,9.86256599,0,∞,4.25,0,0,27.84313774,-5,-,0,0,-4.20609474,45
Fri Feb 09 15:31:03 EST 2018,09-Feb-2018 15:31:03.279,-80.53683032,43.47217744,0.0,4.288,312.60400390625,0.0,-0.29107666,8.81591797,2.91079712,0.0100979,28.23529434,0.02023726,19.6078434,9.8039217,-,9,-,-,-,36.86274719,40.7843132,781,-176.25,0.34166169,0.00569436,43.94643402,-,5.46875,5.46875,4.28800011,43.4721756,-80.53682709,0,-,10.29767895,0,∞,4.25,0,0,28.62745094,-6.5,-,0,0,-3.77098179,45
Fri Feb 09 15:31:04 EST 2018,09-Feb-2018 15:31:04.280,-80.53683032,43.47217742,0.0,4.288,312.6033935546875,0.0,0.62651062,9.32766724,2.54148865,0.01442109,27.05882454,0.00901543,19.6078434,9.8039217,-,9,1,-,0.09891177,36.47058868,38.4313736,764.5,-190.5,0.3376421,0.00562737,43.51132202,-,3.90625,3.90625,4.28800011,43.4721756,-80.53682709,1,0.13264287,10.29767895,0,∞,4.19999981,0,1,28.23529434,-3.5,1.23547089,0.71899998,0,-3.77098179,44
Fri Feb 09 15:31:05 EST 2018,09-Feb-2018 15:31:05.278,-80.53683031,43.47217742,0.0,3.216,312.603759765625,0.0,0.94255066,9.18760681,3.35491943,0.00886736,27.05882454,-0.03612296,19.6078434,9.8039217,-,9,1,-,0.09891177,36.47058868,38.4313736,780.25,-190.5,0.3376421,0.00562737,43.51132202,-,3.90625,3.90625,3.21600008,43.4721756,-80.53682709,1,0.13264287,9.57249069,0,∞,4.19999981,0,1,28.23529434,-3.5,1.23547089,1.42499995,0,-4.49617004,44
Fri Feb 09 15:31:06 EST 2018,09-Feb-2018 15:31:06.279,-80.53684519,43.47219384,0.94,3.216,313.2969970703125,330.3,1.60752869,9.223526,3.21127319,-0.0062691,27.05882454,-0.01199038,19.6078434,9.8039217,-,9,1,-,0.09891177,36.47058868,38.4313736,780.25,-190.5,0.3376421,0.00562737,43.51132202,-,3.90625,3.90625,3.21600008,43.47219467,-80.53684235,1,0.13264287,9.57249069,0,∞,4.19999981,3.38399982,1,28.23529434,-3.5,1.23547089,2.42600012,0,-4.49617004,44
Fri Feb 09 15:31:07 EST 2018,09-Feb-2018 15:31:07.278,-80.53684986,43.47220194,1.26,3.216,313.28546142578125,327.1,1.83558655,8.8518219,2.44273376,0.00946833,27.05882454,-0.01553912,19.6078434,9.8039217,-,9,1,-,0.09891177,36.47058868,38.4313736,780.25,-190.5,0.3376421,0.00562737,43.51132202,-,3.90625,3.90625,3.21600008,43.4722023,-80.53684998,1,0.13264287,9.57249069,0,∞,4.19999981,4.53599977,1,28.23529434,-3.5,1.23547089,3.43000007,0,-4.49617004,44
Fri Feb 09 15:31:08 EST 2018,09-Feb-2018 15:31:08.278,-80.53685977,43.47221036,1.01,3.216,313.6639404296875,306.3,1.99719238,9.25524902,2.63247681,0.02482247,27.05882454,0.04829109,19.6078434,9.8039217,-,9,1,-,0.09891177,36.47058868,38.4313736,780.25,-190.5,0.3376421,0.00562737,43.51132202,-,3.90625,3.90625,3.21600008,43.47220993,-80.5368576,1,0.13264287,9.57249069,0,∞,4.19999981,3.63599992,1,28.23529434,-3.5,1.23547089,4.42999983,0,-4.49617004,44
